Trajectories,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,
,,5 Marker Wand & L-Frame:Top2,,,5 Marker Wand & L-Frame:Top3,,,5 Marker Wand & L-Frame:Mid,,,5 Marker Wand & L-Frame:Bottom2,,,5 Marker Wand & L-Frame:Bottom3,,,| 5 Marker Wand & L-Frame:Top2 |,| 5 Marker Wand & L-Frame:Top3 |,| 5 Marker Wand & L-Frame:Mid |,| 5 Marker Wand & L-Frame:Bottom2 |,| 5 Marker Wand & L-Frame:Bottom3 |,Trajectory Count
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Magnitude( X ),Count
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,
102,0,-105.21,515.448,867.987,-381.802,351.294,871.635,-389.018,356.333,672.386,-126.881,537.73,268.395,-402.123,371.648,269.566,1014.97,1014.36,854.641,614.238,610.321,5
103,0,-105.208,515.453,868.001,-381.772,351.348,871.655,-389.019,356.334,672.385,-126.879,537.735,268.386,-402.088,371.648,269.574,1014.98,1014.39,854.641,614.238,610.301,5
104,0,-105.2,515.475,868.008,-381.767,351.339,871.642,-388.999,356.362,672.395,-126.882,537.738,268.367,-402.126,371.647,269.57,1015,1014.37,854.652,614.233,610.324,5
105,0,-105.2,515.49,868.005,-381.785,351.365,871.603,-388.989,356.387,672.373,-126.878,537.733,268.379,-402.106,371.64,269.585,1015,1014.35,854.64,614.233,610.313,5
106,0,-105.191,515.518,867.994,-381.779,351.369,871.636,-388.995,356.384,672.368,-126.882,537.732,268.389,-402.087,371.652,269.575,1015.01,1014.38,854.638,614.237,610.304,5
107,0,-105.196,515.507,867.997,-381.77,351.381,871.652,-389.01,356.388,672.359,-126.88,537.738,268.374,-402.122,371.643,269.574,1015,1014.39,854.639,614.235,610.32,5
108,0,-105.231,515.499,867.974,-381.788,351.365,871.606,-388.992,356.383,672.387,-126.877,537.733,268.39,-402.119,371.662,269.565,1014.98,1014.36,854.651,614.238,610.326,5
109,0,-105.244,515.488,868,-381.826,351.382,871.601,-388.988,356.392,672.377,-126.89,537.71,268.378,-402.117,371.657,269.557,1015,1014.37,854.645,614.215,610.318,5
110,0,-105.225,515.494,868.018,-381.787,351.365,871.62,-388.982,356.392,672.397,-126.89,537.713,268.406,-402.122,371.655,269.563,1015.02,1014.37,854.658,614.23,610.323,5
111,0,-105.266,515.499,868.007,-381.835,351.374,871.601,-388.989,356.39,672.395,-126.877,537.737,268.415,-402.123,371.652,269.558,1015.02,1014.37,854.659,614.251,610.32,5
112,0,-105.242,515.492,868.014,-381.842,351.376,871.625,-389.047,356.367,672.401,-126.875,537.737,268.416,-402.135,371.656,269.561,1015.02,1014.4,854.68,614.253,610.331,5
113,0,-105.267,515.505,867.978,-381.837,351.377,871.616,-389.052,356.371,672.396,-126.882,537.735,268.404,-402.145,371.657,269.55,1014.99,1014.39,854.681,614.246,610.333,5
114,0,-105.308,515.516,868.017,-381.882,351.352,871.644,-389.06,356.371,672.393,-126.884,537.741,268.443,-402.114,371.643,269.583,1015.04,1014.42,854.682,614.269,610.319,5
115,0,-105.3,515.512,868.01,-381.903,351.338,871.603,-389.071,356.348,672.382,-126.882,537.738,268.45,-402.135,371.647,269.573,1015.03,1014.39,854.669,614.269,610.331,5
116,0,-105.328,515.508,868.006,-381.893,351.332,871.607,-389.065,356.345,672.394,-126.886,537.738,268.447,-402.132,371.655,269.564,1015.03,1014.38,854.674,614.269,610.329,5
117,0,-105.314,515.503,868.025,-381.908,351.326,871.62,-389.09,356.347,672.363,-126.913,537.764,268.444,-402.135,371.644,269.57,1015.04,1014.4,854.661,614.296,610.328,5
118,0,-105.336,515.499,868.033,-381.946,351.34,871.589,-389.12,356.354,672.356,-126.922,537.721,268.413,-402.135,371.617,269.56,1015.05,1014.39,854.672,614.246,610.307,5
119,0,-105.379,515.51,868.027,-381.946,351.341,871.588,-389.122,356.359,672.366,-126.919,537.746,268.456,-402.152,371.636,269.545,1015.05,1014.39,854.684,614.286,610.322,5
120,0,-105.369,515.516,868.052,-381.956,351.341,871.594,-389.127,356.351,672.326,-126.939,537.738,268.397,-402.156,371.613,269.557,1015.07,1014.4,854.651,614.258,610.317,5
121,0,-105.392,515.514,868.026,-381.976,351.336,871.589,-389.114,356.359,672.373,-126.942,537.754,268.418,-402.166,371.617,269.543,1015.05,1014.4,854.685,614.282,610.319,5
122,0,-105.403,515.511,868.03,-381.992,351.353,871.608,-389.121,356.362,672.373,-126.948,537.745,268.405,-402.192,371.625,269.543,1015.06,1014.43,854.689,614.269,610.342,5
123,0,-105.445,515.523,868.036,-382.005,351.348,871.596,-389.153,356.36,672.373,-126.95,537.744,268.42,-402.186,371.634,269.533,1015.07,1014.42,854.703,614.275,610.339,5
124,0,-105.446,515.525,868.03,-382.034,351.311,871.601,-389.165,356.365,672.368,-126.961,537.748,268.409,-402.2,371.624,269.535,1015.07,1014.43,854.707,614.276,610.342,5
125,0,-105.445,515.526,868.029,-382.02,351.349,871.594,-389.18,356.363,672.331,-126.986,537.736,268.423,-402.201,371.624,269.534,1015.07,1014.43,854.684,614.277,610.343,5
126,0,-105.506,515.542,868.031,-382.042,351.379,871.584,-389.203,356.368,672.328,-126.955,537.758,268.432,-402.191,371.638,269.541,1015.08,1014.44,854.695,614.294,610.349,5
